,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year Total cost (USD)
Cash Inflow of Selling electricity,0.0,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,76961932.58385523,1924048314.5963807
wind: capital cost,-270000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270000000.0
wind: fixed o&m,0.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-3780000.0,-94500000.0
wind: variable o&m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
solar: capital cost,-34500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34500000.0
solar: fixed o&m,0.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-675000.0,-16875000.0
solar: variable o&m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
battery: capital cost,-4370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4370000.0
battery: fixed o&m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
battery: variable o&m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Total cost per year (USD/year),-308870000.0,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,72506932.58385523,1503803314.5963807
